LON,LAT,EDO,ESTACION,CLAVE,46023.0
-91.483333,17.433333,TAB,"Boca del Cerro, Tab.",BDCTB,73.7
-107.225,25.344444,SIN,"Guatenipa, Sin.",GTNSI,73.0
-97.2225,19.921944,VER,"Tomata, Ver.",TOMVC,72.7
-97.234722,19.7625,VER,"Altotonga, Ver.",ALTVC,71.7
-96.263611,17.999167,OAX,"Miguel de la Madrid Hurtado, Oax.",CDOOX,71.3
-94.771111,18.135278,VER,"Minzapan, Ver.",MNZVC,69.3
-96.979722,19.588611,VER,"Piletas, Ver.",PILVC,68.9
-105.219722,25.575556,DGO,"Indé, Dgo.",INDDR,68.0
-97.725,16.102778,OAX,"Río Verde, Oax.",RVEOX,66.0
-91.761389,18.654167,CAMP,"El Carmen, Camp.",CARCA,64.1
-108.876667,27.411944,SON,"San Bernardo, Son.",SBNSO,64.0
-108.860833,27.421667,SON,"Bicentenario, Son.",BICSO,64.0
-96.978333,20.051944,VER,"Libertad, Ver.",LIBVC,63.7
-108.937778,27.021667,SON,"Álamos, Son.",ALMSO,62.8
-108.092778,29.251944,CHIH,"Peñitas, Chih.",C08219,61.5
-99.935833,18.931389,MEX,"Texcaltitlán, Méx.",TESMX,61.3
-107.466667,25.033333,SIN,"Andrew Weiss, Sin.",AWSSI,60.5
-90.105556,20.184167,CAMP,"Hecelchakán, Camp.",HECCA,60.0
-95.483333,17.45,OAX,"María Lombardo, Oax.",MAROX,59.6
-107.072222,26.816667,CHIH,"Guachochi, Chih. SMN*",GCCCH,59.4
-105.466111,24.185833,DGO,"Las Vegas, Dgo. SMN*",LVEDR,59.0
-109.106667,27.226111,SON,"Adolfo Ruiz Cortines, Son.",ARCSO,58.5
-109.642222,28.976667,SON,"Plutarco Elías Calles, Son.",PECSO,58.5
-96.966667,19.45,VER,"Tapachapan, Ver.",TAPVC,57.2
-110.1675,30.335833,SON,"Arizpe, Son.",ARZSO,57.1
-109.088611,30.07,SON,"Aribabi, Son.",ARISO,55.3
-107.072778,26.813056,CHIH,"Guerachi, Chih.",GRCCH,54.7
-107.5375,25.333333,SIN,"Badiraguato, Sin.",BDRSI,54.5
-95.212778,18.450833,VER,"San Andrés Tuxtla AC, Ver.",STXVC,53.9
-97.359722,19.815278,PUE,"Teziutlán, Pue.",TEZPB,53.5
-96.950833,19.181667,VER,"Huatusco, Ver.",HTSVC,53.2
-101.724444,20.127222,MICH,"Melchor Ocampo, Mich.",MOCMC,53.0
-98.045,20.8325,VER,"Milcahual, Ver.",MILVC,52.6
-96.849722,18.405,PUE,"Tlacotepec de Díaz, Pue.",TLPPB,52.5
-96.950278,19.233611,VER,"Totutla, Ver.",TOTVC,52.4
-102.601944,19.958333,MICH,"Jaripo, Mich.",JARMC,52.1
-91.158333,17.791667,TAB,"San Pedro, Tab.",SPTTB,52.1
-97.691111,20.274722,VER,"Macedonio Alonso, Ver.",MACVC,52.0
-100.55,19.7,MICH,"Ciudad Hidalgo, Mich.",CHIMC,52.0
-102.541389,19.979167,MICH,"Guaracha, Mich.",GUAMC,52.0
-107.4,24.816667,SIN,"Culiacán, Sin.",CLCSI,51.8
-96.55,18.05,OAX,"Santo Domingo, Oax.",STDOX,51.5
-107.843333,25.485556,SIN,"San Juan, Sin. SMN*",SANJUAN,50.8
-107.8425,25.486667,SIN,"San Juan, Sin.",SJNSI,50.5
-97.446667,19.960833,PUE,"La Soledad, Pue.",SOLPB,50.1
-104.656667,24.203889,DGO,"Peña del Aguila, Dgo.",PAGDR,50.1
-89.081667,20.463056,YUC,"Cantamayec, Yuc.",CANYC,50.0
-97.1,19.65,VER,"Las Vigas de Ramírez, Ver.",LVRVC,50.0
-96.9975,18.897778,VER,"Fortín, Ver.",FORVC,49.3
-101.626667,20.248889,MICH,"Los Angeles, Mich.",LANMC,49.0
-97.021111,19.603611,VER,"La Joya, Ver.",JOYVC,48.7
-107.633333,27.75,CHIH,"Creel, Chih.",CRLCH,48.7
-106.390278,26.473333,CHIH,"El Vergel, Chih. SMN*",ELVERGELSMN,48.6
-91.535,17.756667,TAB,"Balancán, Tab. SGT*",BALANCANHM,48.5
-96.861389,18.483611,PUE,"Tepeyac, Pue.",TYAPB,48.3
-97.011389,18.332222,PUE,"Zoquitlán, Pue.",ZOQPB,48.0
-107.911944,25.855278,SIN,"Bacurato hidrométrica de Gustavo Diaz Ordáz, Sin.",GD2SI,48.0
-107.723611,27.033611,CHIH,"Batopilas, Chih.",BTPCH,47.7
-107.383333,25.090278,SIN,"El Varejonal hidrométrica, Sin.",AL2SI,47.5
-110.570556,29.707778,SON,"Rayón, Son.",RAYSO,46.6
-109,25.8,SIN,"Los Mochis, Sin.",MCHSI,46.2
-104.782778,24.518333,DGO,"Canatlán, Dgo.",CNTDR,46.2
-95.133333,17.883333,VER,"San Juan Evangelista, Ver.",SJEVC,45.7
-109.2125,27.658333,SON,"Tesocoma, Son.",TSOSO,45.5
-89.743889,20.003889,CAMP,"Bolonchen, Camp.",BOLCA,45.1
-103.722222,19.226389,COL,"Observatorio de Colima, Col.",CMDCM,44.9
-96.933333,19.483333,VER,"Briones, Ver.",BRIVC,44.8
-86.775833,21.074444,QROO,"Cancún Radar, Q. Roo. SMN*",CNCQR,44.8
-109.233333,29.2,SON,"El Cubil, Son.",ECBSO,44.5
-98.050833,20.176389,PUE,"Huauchinango, Pue.",HUAPB,44.5
-109.183333,25.916667,SIN,"Ahome, Sin.",AHMSI,44.5
-95.183333,18.45,VER,"Sihuapán, Ver.",SIHVC,44.2
-96.843889,19.695833,VER,"Acatlán, Ver.",ACAVC,44.0
-105.952222,25.934444,DGO,"Guanaceví, Dgo.",GNCDR,44.0
-96.944444,19.588889,VER,"Banderilla, Ver.",BANVC,44.0
-109.301111,25.966111,SIN,"Higuera de Zaragoza, Sin.",HDZSI,43.6
-96.97,19.55,VER,"Otilpan, Ver.",OTIVC,43.0
-105.786944,25.7675,DGO,"El Zape, Dgo.",ZPEDR,43.0
-108.7625,26.603611,SON,"Cazanate, Son.",CZNSO,42.5
-109.932222,27.3725,SON,"Observatorio Cd. Obregón, Son.",OBOSO,42.2
-110.8,27.95,SON,"Observatorio de Empalme, Son.",EPLSO,42.1
-110.226111,29.825,SON,"Aconchi, Son.",ACNSO,42.0
-104.810278,24.538333,DGO,"Caboraca, Dgo.",CBRDR,42.0
-98.483333,20.533333,VER,"Huayacocotla, Ver.",HUYVC,42.0
-97.2175,21.471667,VER,"Isla Lobos, Ver. SEMAR*",ISLALOBOSmar,41.6
-97.585,19.859722,PUE,"Zacapoaxtla, Pue.",ZCPPB,41.5
-106.400278,31.736667,CHIH,"Ciudad Juárez, Chih.",CJZCH,41.0
-101.199444,20.565833,GTO,"Salamanca, Gto.",SLMGJ,40.8
-97.956944,20.277222,PUE,"Xicotepec de Juárez, Pue.",XDJPB,40.5
-109.931944,27.496389,SON,"Ciudad Obregón, Son.",COBSO,40.5
-97.205556,20.133889,PUE,"San José Acateno, Pue.",SJAPB,40.1
-110.947222,31.318889,SON,"Nogales, Son.",NGLSO,39.4
-108.7025,26.426944,SIN,"Josefa Ortiz de Domínguez, Sin.",JORSI,39.0
-110.913889,31.297778,SON,"Nogales, Son. SMN*",NOGALES,39.0
-104.928889,26.2425,DGO,"Villa Hidalgo, Dgo.",VHGDR,38.5
-102.004444,20.354444,MICH,"La Piedad, Mich.",LPDMC,38.2
-96.950833,19.5625,VER,"Xalapa Plan de Ayala PC, Ver.",XAYVC,38.2
-97.316667,20.45,VER,"Papantla, Ver.",PPNVC,38.0
-109.333333,26.1,SIN,"El Carrizo, Sin.",CRRSI,38.0
-109.625,27.416667,SON,"Cocoraque, Son.",CCRSO,38.0
-106.9,23.916667,SIN,"La Cruz, Sin.",LCRSI,38.0
-100.551111,25.028333,NL,"San Rafael, N.L.",SRANL,38.0
-107.9125,27.216667,CHIH,"Urique, Chih.",URECH,38.0
-106.807222,24.571667,SIN,"José López Portillo, Sin.",JLPSI,38.0
-99.210278,19.218611,DF,"Ajusco, Cd. de Méx.",AJSDF,37.8
-96.795278,18.888056,VER,"Potrero Nuevo, Ver.",PTNVC,37.7
-96.994444,19.332778,VER,"Cosautlán de Carvajal, Ver.",CDCVC,37.1
-109.443333,27.071944,SON,"Navojoa, Son.",NVJSO,37.0
-101.389444,24.621389,ZAC,"Concepción del Oro, Zac.",CORZC,37.0
-98.059444,19.092778,PUE,"Capulac, Pue.",CPLPB,37.0
-109.887778,27.75,SON,"Agua Caliente, Son.",AGCSO,37.0
-104.370278,19.976111,JAL,"Ramón Corona Madrigal General, Jal.",TMLJL,36.9
-99.683333,19.116667,MEX,"Nevado de Toluca, Méx. SMN*",NEVMX,36.8
-98.411944,16.47,GRO,"Cuajinicuilapa, Gro.",CNLGR,36.7
-111.516389,30.873333,SON,"Cuauhtémoc, Son.",CHTSO,36.0
-104.59,20.252222,JAL,"El Rodeo, Jal.",RODJL,36.0
-109.8925,27.8225,SON,"Alvaro Obregón, Son.",AOBSO,36.0
-101.99,20.231389,MICH,"Adjuntas, Mich.",ADUMC,35.7
-96.939444,19.453889,VER,"Coatepec, Ver.",COAVC,35.5
-97.486389,19.952778,PUE,"Sontalalco CFE, Pue.",STLPB,35.3
-109.998611,23.555556,BCS,"Sierra La Laguna, B.C.S. SMN*",SLAGUNA,35.2
-88.045,19.575556,QROO,"Observatorio de Felipe Carrillo Puerto, Q. Roo.",FCRQR,35.0
-102.733889,23.602222,ZAC,"Cañitas de Felipe Pescador, Zac",CFPZC,34.9
-98.348056,21.019444,HGO,"Atlapexco, Hgo.",ATCHD,34.5
-117.071389,32.3775,BC,"Playa Rosarito, B.C. SMN*",PLAYAROSARITO,34.4
-98.050833,20.176389,PUE,"Universidad de la Sierra, Pue.",UDSPB,34.3
-101.861667,20.207222,MICH,"Corrales, Mich.",CORMC,34.1
-116.603333,31.891667,BC,"Presa Emilio López Zamora, B.C. SMN*",PLOPEZZAMORA,34.0
-109.025,26.423889,SON,"Estación Don, Son.",EDNSO,34.0
-110.85,27.95,SON,"Guaymas, Son.",GYMSO,33.9
-108.616667,26.433333,SIN,"El Fuerte, Sin.",EFTSI,33.7
-111.021389,30.050556,SON,"Querobabi, Son.",QRBSO,33.5
-97.478333,20.540833,VER,"Poza Rica, Ver.",PRCVC,33.5
-108.58,26.509722,SIN,"Miguel Hidalgo, Sin.",PMHSI,33.0
-108.367778,26.844722,SIN,"Luis Donaldo Colosio, Sin.",LDCSI,33.0
-108.35,26.904167,SIN,"Huites hidrométrica, Sin.",LD2SI,33.0
-108.541667,27.416667,CHIH,"Chínipas, Chih.",CNDCH,32.6
-87.077778,20.634444,QROO,"Playa del Carmen, Q. Roo.",PDCQR,32.6
-103.757222,19.3175,COL,"Comala, Col.",CMLCM,32.5
-109.841944,27.125556,SON,"Villa Juárez, Son.",VJZSO,32.5
-97.616667,19.25,PUE,"Quimixtlán, Pue.",QUIPB,32.5
-110.916667,29.066667,SON,"Observatorio de Hermosillo, Son.",HM2SO,32.4
-99.866667,19.783333,MEX,"Atlacomulco Prepa., Méx.",ATPMX,32.1
-105.560833,26.436667,DGO,"San Gabriel, Dgo.",SGBDR,32.0
-105.506111,26.447778,DGO,"Villa Ocampo, Dgo.",VOCDR,32.0
-109.925833,22.8975,BCS,"Cabo San Lucas, B.C.S.",CSLBS,32.0
-111.663611,25.009722,BCS,"Observatorio de Ciudad Constitución, B.C.S.",CCNBS,32.0
-96.158333,19.068889,VER,"El Tejar, Ver.",ETEVC,31.6
-110.059167,23.805,BCS,"San Antonio Sur, B.C.S.",SANBS,31.2
-108.091667,25.469444,SIN,"Guamúchil, Sin.",GMCSI,31.1
-102.265278,19.973611,MICH,"Chaparaco, Mich.",CHAMC,31.1
-102.040833,22.673056,ZAC,"El Saladillo, Zac.",ELSZC,31.0
-101.536667,20.446944,GTO,"Abasolo, Gto.",ABSGJ,31.0
-98.416667,21.15,HGO,"Huejutla, Hgo.",HJTHD,31.0
-97.832778,20.178611,PUE,"Zaragoza, Pue.",ZRGPB,31.0
-102.284167,20.006667,MICH,"Observatorio de Zamora, Mich.",ZAMMC,30.8
-109.5,29.534722,SON,"Tepache, Son.",TPCSO,30.7
-97.503333,19.961389,PUE,"Buenos Aires CFE, Pue.",BAIPB,30.5
-110.308333,28.472222,SON,"Punta de Agua 2, Son.",PTASO,30.4
-102.890833,23.173889,ZAC,"Fresnillo, Zac.",FREZC,30.2
-107.440556,24.634722,SIN,"Observatorio de Culiacán, Sin.",OBSSI,30.2
-108.3275,26.103056,SIN,"Ing. Guillermo Blake Aguilar, Sin.",GBESI,30.0
-108.316667,26.083333,SIN,"El Sabinal hidrométrica, Sin.",GB2SI,30.0
-110.239167,28.713333,SON,"San José de Pimas, Son.",SJPSO,30.0
-103.590833,19.592222,JAL,"Nevado de Colima, Jal. SMN*",NEVADOCOLIMA,30.0
-107.059722,24.7475,SIN,"Vinoramas, Sin.",VINSI,30.0
-110.396944,28.426389,SON,"Ignacio R. Alatorre, Son.",IRASO,29.7
-96.781389,18.360278,PUE,"Naranjastitla, Pue.",NARPB,29.7
-104.480833,24.945,DGO,"El Cuarto, Dgo.",CTODR,29.6
-103.283889,25.068056,COAH,"La Flor, Coah.",LFLDR,29.5
-101.461389,20.324167,MICH,"Casa Blanca, Mich.",CBLMC,29.5
-111.834444,30.714444,SON,"Observatorio de Altar, Son.",ALTSO,29.0
-97.876111,22.238333,TAMPS,"Sistema Lagunario del Río Tamesí, Tamps.",TMPTP,29.0
-95.033333,17.433333,VER,"Jesús Carranza, Ver.",JCRVC,29.0
-107.059444,24.753611,SIN,"Juan Guerrero Alcocer, Sin.",JGRSI,29.0
-108.065556,25.484722,SIN,"Lic. Eustaquio Buelna, Sin.",EBLSI,28.7
-99.559722,19.884722,MEX,"Danxho, Méx.",DNXMX,28.5
-110.925833,29.073056,SON,"Hermosillo, Son.",HMNSO,28.5
-101.85,21.35,JAL,"La Sauceda, Jal.",SAUJL,28.4
-101.835556,21.359167,JAL,"La Sauceda, Jal.",SA1JL,28.4
-102.660556,22.996944,ZAC,"Llano Blanco, Zac.",LLBZC,28.1
-88.459444,18.572222,QROO,"Instituto Nacional de Innovación Agraria, Q. Roo.",INIQR,28.1
-110.366667,24.15,BCS,"Observatorio de La Paz, B.C.S.",LPZBS,28.1
-103.866389,19.17,COL,"La Esperanza, Col.",LAECM,28.1
-108.466667,25.716667,SIN,"Guasave, Sin.",GSVSI,28.0
-113.550833,31.352778,SON,"Observatorio de Puerto Peñasco, Son.",PT2SO,28.0
-103.702778,19.295,COL,"El Chanal, Col.",CHNCM,28.0
-93.474444,17.463611,CHIS,"Peñitas, Chis. SGT*",PENITAS,27.8
-96.929167,19.511944,VER,"Xalapa Base PC, Ver.",XBSVC,27.8
-96.935278,19.529167,VER,"Xalapa IMAC PC, Ver.",XIMVC,27.8
-109.083333,29.433333,SON,"Paso Nácori, Son.",PDNSO,27.6
-91.729722,16.909167,CHIS,"Yaquintela, Chis. SGT*",YAQUINTELA,27.6
-87.486111,21.101944,QROO,"Kantunilkín, Q. Roo. SMN*",KANTUNILKIN,27.6
-103.663333,19.2775,COL,"Trapiche, Col.",TRPCM,27.5
-103.884444,19.111389,COL,"P. deriv. Gregorio T. Q. Jala, Col.",DJLCM,27.4
-99.799167,19.343056,MEX,"Tres Barrancas, Méx.",TBRMX,27.3
-110.736389,29.472222,SON,"El Cajón, Son.",CJNSO,27.3
-100.055556,19.461667,MEX,"Villa Victoria, Méx.",VVCMX,27.0
-104.75,23.516667,DGO,"Las Bayas, Dgo.",LBYDR,27.0
-101.35,20.683333,GTO,"Irapuato, Gto.",IRPGJ,26.8
-102.566944,22.778889,ZAC,"Observatorio de Zacatecas, Zac.",LBUZC,26.8
-101.666667,20.616667,GTO,"Cuerámaro, Gto.",CRMGJ,26.7
-92.808056,15.656667,CHIS,"El Triunfo, Chis. SMN*",ELTRIUNFO,26.6
-95.35,18.25,VER,"Lauchapan, Ver.",LAUVC,26.5
-92.575,15.204167,CHIS,"Despoblado, Chis.",DESCP,26.5
-89.558056,20.397778,YUC,"Ticul, Yuc.",TICYC,26.5
-96.966667,19.383333,VER,"Teocelo, Ver.",TCOVC,26.4
-103.725556,18.758611,COL,"Cerro de Ortega, Col.",CDOCM,26.3
-103.382778,22.845278,ZAC,"Manuel Felgueres, Zac.",LOBZC,26.0
-99.864444,20.038611,MEX,"Ñadó, Méx.",PNDMX,26.0
-96.85,19.55,VER,"Xalapa CFE, Ver.",XCFVC,25.8
-108.931667,30.355278,SON,"Bacerac, Son.",BCRSO,25.8
-97.926944,22.386111,TAMPS,"Bombas Altamira, Tamps.",BALTP,25.8
-100.406389,19.838056,MICH,"Laguna del Fresno, Mich.",LDFMC,25.6
-103.698889,24.871944,DGO,"Cuencamé, Dgo.",CNCDR,25.5
-104.494722,26.226944,DGO,"El Derrame, Dgo.",DERDR,25.5
-110.289722,27.643611,SON,"Vícam, Son.",VCMSO,25.5
-99.961389,19.660833,MEX,"San Andrés Tepetitlán, Méx.",TPTMX,25.2
-116.6025,31.890278,BC,"Emilio López Zamora, B.C.",ELZBN,25.2
-104.054444,23.623056,DGO,"Santa Elena, Dgo.",SELDR,25.0
-101.044167,19.826944,MICH,"Planta de bombeo, Mich.",PDBMC,25.0
-114.733611,18.348611,COL,"Isla Clarión, Col. SEMAR*",ICLARIONmar,24.9
-98.617222,21.692778,SLP,"San Vicente, S.L.P.",SVTSL,24.8
-106.595833,23.955556,SIN,"Ixpalino, Sin.",IXPSI,24.7
-104.6,24.1,DGO,"Observatorio de Durango, Dgo.",OBSDR,24.6
-97.039444,18.845556,VER,"Presa Tuxpango, Ver. SMN*",PTUXPANGO,24.4
-96.942222,19.550556,VER,"Xalapa Seminario PC, Ver.",XSMVC,24.4
-88.204167,20.69,YUC,"Observatorio de Valladolid, Yuc.",VALYC,24.3
-96.1,17.016667,OAX,"Ayutla, Oax.",AYUOX,24.2
-104.780833,20.479722,JAL,"Corrinchis, Jal.",CRNJL,23.8
-96.872222,19.65,VER,"Naolinco, Ver.",NAOVC,23.7
-97.845,20.406944,PUE,"Apapantilla, Pue.",APAPB,23.6
-99.235278,19.203333,DF,"Ajusco Alta Tensión, Cd. de Méx. SEGIAGUA*",AJUSCOALTATEN,23.5
-95.556944,18.270556,VER,"Garro, Ver.",GARVC,23.2
-90.221389,19.605833,CAMP,"Noh Yaxché, Camp.",NYXCA,23.2
-103.603056,22.687222,ZAC,"La Florida, Zac.",LFLZC,23.0
-107.6975,28.759722,CHIH,"Tejolocachi, Chih.",C08243,23.0
-99.704722,19.465833,MEX,"José Antonio Alzate, Méx.",SBBMX,23.0
-101.625556,20.499167,GTO,"Agua Tibia, Gto.",ATBGJ,23.0
-104.05,20.55,JAL,"Río Ameca, Jal.",RAMJL,22.9
-97.1,18.85,VER,"Observatorio de Orizaba, Ver.",ORZVC,22.8
-86.946111,20.51,QROO,"Cozumel, Q. Roo.",COZQR,22.8
-103.216944,23.18,ZAC,"Gobernador Leobardo Reynoso, Zac.",LREZC,22.4
-116.908333,32.444722,BC,"Abelardo L. Rodríguez, B.C.",ALRBN,22.4
-100.080278,20.418611,QRO,"Constitución de 1917, Qro.",CNSQT,22.4
-97.953333,23.166389,TAMPS,"La Esperanza, Tamps.",LAETP,22.3
-88.930833,20.1325,YUC,"Peto, Yuc.",PETYC,22.0
-103.85,25.816667,DGO,"Mapimí, Dgo.",MPMDR,22.0
-106.466667,23.5625,SIN,"Quelite, Sin.",QLTSI,22.0
-111.983056,26.896111,BCS,"Mulegé, B.C.S.",MLGBS,22.0
-105.85,22.983333,SIN,"Rosario, Sin.",RSRSI,22.0
-115.921667,32.042222,BC,"Constitución de 1857, B.C. SMN*",CONST1857,22.0
-89.653889,21.275833,YUC,"Observatorio de Progreso, Yuc.",PROYC,21.8
-103.361667,20.583889,JAL,"PIAE Toluquilla, Jal.",PITJL,21.8
-101.7425,20.439167,GTO,"La Golondrina, Gto.",GLNGJ,21.6
-111.349167,26.011667,BCS,"Observatorio de Loreto, B.C.S.",LRTBS,21.6
-107.158333,24.813889,SIN,"Sanalona hidrométrica, Sin.",SN2SI,21.6
-105.443056,25.225,DGO,"Salomé Acosta, Dgo.",SACDR,21.5
-103.845833,20.596389,JAL,"Ing. Santiago Camarena, Jal.",VEGJL,21.5
-99.245833,19.274167,DF,"Zacatón, Cd. de Méx. SEGIAGUA*",ZACATON,21.5
-104.100556,18.938611,COL,"Radar, Col.",RDRCM,21.4
-116.204167,32.271944,BC,"Agua Hechicera, B.C.",AGHBN,21.4
-92.715556,16.578056,CHIS,"Villa de Chiapilla, Chis. SGT*",CHIAPILLA,21.4
-116.696944,32.479444,BC,"El Carrizo, B.C.",CRRBN,21.3
-91.046111,18.183056,CAMP,"Candelaria, Camp.",CNDCA,21.3
-108.535556,27.392222,CHIH,"Chínipas, Chih. SMN*",CHICH,21.3
-116.205556,32.272222,BC,"La Rumorosa, B.C. SMN*",RUMOROSA,21.3
-102.585556,22.765,ZAC,"Zacatecas, Zac.",ZACZC,21.1
